canonical_id,canonical_name,variant_name,variant_id,root,lang,meaning_en,meaning_ja,confidence,relation,reasoning,similarity_candidates
1,Maison Rio Branco,Maison Rio Branco,1,rio,mixed,"Maison (French for 'house') combined with Rio Branco (a river name, meaning 'White River' in Portuguese)",メゾン（フランス語で「家」）とリオ・ブランコ（川の名前、ポルトガル語で「白い川」）の組み合わせ,0.2,different,"The toponym 'Maison Rio Branco' combines a French word 'Maison' with a Portuguese river name 'Rio Branco'. The presence of 'Rio' indicates a water-related root, but the combination of French and Portuguese suggests a mixed linguistic origin. There is no direct phonetic similarity or historical precedent for this combination in Amazonian toponyms, and without similar candidates, it is treated as a distinct name.",0
2,Rua Rio de Janeiro,Rua Rio de Janeiro,2,rio,por,Street of the River of January,1月の川の通り,0.2,different,"The toponym 'Rua Rio de Janeiro' translates to 'Street of the River of January' in English. The term 'Rio' is a common Portuguese word for 'river', indicating a water-related root. However, 'Rua Rio de Janeiro' is not a typical toponym for the Amazon basin, as it refers to a street name likely inspired by the city of Rio de Janeiro, rather than a natural water feature. The lack of similar candidates and the urban context suggest it is not directly related to Amazonian water-related toponyms. Therefore, it is classified as 'different' with a low confidence due to the absence of comparable toponyms.",0
3,Avenida Rio Branco,Avenida Rio Branco,3,rio,por,"Avenida Rio Branco translates to 'White River Avenue' in English, where 'Rio' means 'river' in Portuguese and 'Branco' means 'white'.",Avenida Rio Brancoはポルトガル語で「白い川の大通り」を意味し、「Rio」はポルトガル語で「川」、「Branco」は「白」を意味します。,0.2,different,"The toponym 'Avenida Rio Branco' does not have any similar candidates to compare against. The name itself is composed of 'Rio', a common Portuguese root for 'river', and 'Branco', meaning 'white'. It is a common street name in many Brazilian cities, often named after historical figures or geographical features. Without specific candidates to compare, it is treated as a distinct name. The use of 'Rio' indicates a water-related root, but the lack of additional context or similar names in the Amazon basin suggests it is not directly related to a specific water body in the region.",0
4,Travessa Rio Branco,Travessa Rio Branco,4,rio,por,Crossing of the White River,白い川の横断,0.9,different,"The toponym 'Travessa Rio Branco' contains the Portuguese word 'Rio', which means 'river'. This indicates a water-related feature. The term 'Branco' means 'white' in Portuguese, suggesting a descriptive name for a river. 'Travessa' means 'crossing' or 'passage', indicating a geographical feature related to a river crossing. There are no similar candidates provided, and the name is clearly in Portuguese, suggesting a colonial or post-colonial origin. The confidence is high due to the clear linguistic and semantic components of the name.",0
5,Rua Rio Grande do Sul,Rua Rio Grande do Sul,5,rio,por,Street of the Great River of the South,南の大河の通り,0.2,different,"The toponym 'Rua Rio Grande do Sul' does not have any similar candidates to compare against. The name itself is composed of Portuguese words: 'Rua' meaning 'street', 'Rio' meaning 'river', and 'Grande do Sul' meaning 'Great of the South'. The presence of 'Rio' indicates a water-related root, but the context is more urban and not directly related to the Amazon basin's typical water-related toponyms. The name likely refers to a street named after the Brazilian state of Rio Grande do Sul, rather than a geographical feature within the Amazon basin. Therefore, it is classified as 'different' due to the lack of similar toponyms and its urban context.",0
6,Acesso Centro Rio Branco,Acesso Centro Rio Branco,6,rio,por,Access to the center of Rio Branco,リオブランコ中心部へのアクセス,0.2,different,"The toponym 'Acesso Centro Rio Branco' does not have any similar candidates to compare against. The term 'Rio' is a common Portuguese word for 'river', indicating a water-related root. 'Acesso' means 'access', and 'Centro' means 'center', both of which are Portuguese words. 'Rio Branco' is a known city in Brazil, suggesting that this toponym refers to an access route to the city center of Rio Branco. Given the lack of similar candidates and the specificity of the name, it is treated as a distinct toponym with no direct relation to other known water-related toponyms in the Amazon basin.",0
7,Avenida Rio Negro,Avenida Rio Negro,7,rio,por,"Avenida Rio Negro refers to an avenue named after the Rio Negro, a major river in the Amazon basin.",Avenida Rio Negroは、アマゾン流域の主要な川であるリオ・ネグロにちなんで名付けられた通りを指します。,0.9,different,"The toponym 'Avenida Rio Negro' includes the word 'Rio', which is a common Portuguese root for 'river'. 'Negro' refers to the Rio Negro, a significant river in the Amazon basin. The term 'Avenida' indicates that this is an avenue, not a natural water feature. There are no similar toponyms provided for comparison, but the name clearly refers to a man-made structure named after a well-known river. The language is Portuguese, as indicated by the use of 'Avenida' and 'Rio'. The confidence is high due to the clear identification of the river name and the Portuguese language context.",0
8,Estrada do Igarapé da Judia,Estrada do Igarape da Judia,8,igarape,mixed,Road of the Stream of the Jewess,ユダヤ人女性の小川の道,0.9,different,"The toponym 'Estrada do Igarape da Judia' contains the water-related root 'igarapé', which is a Tupi term for a small stream. The name is a mix of Portuguese ('Estrada do', meaning 'Road of the') and Tupi ('Igarapé', meaning 'stream'). The term 'Judia' is Portuguese for 'Jewess', indicating a cultural or historical reference. Given the lack of similar candidates, this toponym is treated as distinct. The confidence is high due to the clear identification of the water-related root and the mixed linguistic origin.",0
9,Canal da Maternidade,Canal da Maternidade,9,canal,por,Maternity Canal,マタニティ運河,0.9,different,"The toponym 'Canal da Maternidade' directly translates to 'Maternity Canal' in English, indicating a man-made waterway. The term 'canal' is a common Portuguese word for artificial waterways, and 'da Maternidade' suggests a specific naming, possibly related to a nearby maternity hospital or facility. There are no similar toponyms provided for comparison, and the name does not exhibit typical Amazonian indigenous roots such as 'igarapé' or 'paraná'. Therefore, it is classified as a distinct toponym with a Portuguese linguistic origin, and the water-related root identified is 'canal'.",0
10,Rua Porto Acre,Rua Porto Acre,10,rio,por,Street of Porto Acre,ポルト・アクレの通り,0.2,different,"The toponym 'Rua Porto Acre' does not contain any of the typical water-related roots such as 'igarapé', 'lagoa', or 'paraná'. The word 'Porto' suggests a port or harbor, which is related to water, but it is not a root specific to the Amazonian context. 'Acre' is a state in Brazil, and 'Rua' means street in Portuguese. The toponym is in Portuguese, indicating a colonial influence. Without any similar candidates to compare, the confidence in determining a relation is low, and it is classified as 'different' due to the lack of specific Amazonian water-related roots.",0
